Date,Open,High,Low,Close,Adj Close,Volume
2018-10-18,128000,128000,123500,125000,124232.4844,880738
2018-10-19,124500,127500,124000,127500,126717.1328,1114452
2018-10-22,127500,130000,125500,129000,128207.9141,324730
2018-10-23,129000,130000,123500,125500,124729.4141,822259
2018-10-24,127500,129000,124500,127000,126220.2031,679196
2018-10-25,120500,121000,114000,119000,118269.3281,1529110
2018-10-26,119000,119000,110000,113000,112306.1563,1544405
2018-10-29,112500,113500,109000,109500,108827.6563,649910
2018-10-30,108000,112000,104000,110500,109821.5078,939865
2018-10-31,110500,115000,108500,114500,113796.9531,1016429
2018-11-01,113500,116500,110500,111500,110815.375,805655
2018-11-02,111500,118500,111500,116500,115784.6719,1320415
2018-11-05,115000,115500,111500,113500,112803.0938,442640
2018-11-06,114000,117500,113500,117000,116281.6016,453810
2018-11-07,117500,119000,113500,115500,114790.8125,385827
2018-11-08,118000,120000,115500,116500,115784.6719,404191
2018-11-09,115000,118000,115000,115000,114293.8828,295733
2018-11-12,114500,116500,114500,115000,114293.8828,260849
2018-11-13,115500,117500,114000,116000,115287.75,435937
2018-11-14,115500,116500,114000,115500,114790.8125,335405
2018-11-15,null,null,null,null,null,null
2018-11-16,113500,114500,111500,112500,111809.2344,872059
2018-11-19,113000,114000,110500,111500,110815.375,697289
2018-11-20,110000,112000,107000,108000,107336.8672,693868
2018-11-21,105500,107000,104500,106500,105846.0781,525328
2018-11-22,107000,111500,107000,109500,108827.6563,504744
2018-11-23,110000,115500,109500,114000,113300.0234,691736
2018-11-26,115000,124500,114500,124000,123238.6172,805023
2018-11-27,124000,129500,122500,125000,124232.4844,637199
2018-11-28,128500,130500,126500,129000,128207.9141,645902
2018-11-29,133000,134000,129000,130500,129698.7109,559552
2018-11-30,131000,131000,126000,126500,125723.2656,801837
2018-12-03,130500,130500,125000,126000,125226.3438,486166
2018-12-04,127500,127500,122500,123500,122741.6953,512742
2018-12-05,124500,127000,123000,125000,124232.4844,308805
2018-12-06,123000,124000,119500,120000,119263.1875,445309
2018-12-07,121500,123500,119500,121000,120257.0391,565663
2018-12-10,119000,121500,117500,119000,118269.3281,376421
2018-12-11,120000,123500,117500,123000,122244.7656,506349
2018-12-12,124000,126000,122500,124500,123735.5469,490812
2018-12-13,125500,125500,123000,124000,123238.6172,972556
2018-12-14,123500,124000,121500,123500,122741.6953,259268
2018-12-17,124000,124000,120500,122000,121250.8984,294847
2018-12-18,120500,124000,120000,122000,121250.8984,342972
2018-12-19,123000,128500,122500,127500,126717.1328,385472
2018-12-20,125500,128000,123500,127000,126220.2031,364624
2018-12-21,127000,127000,121000,121500,120753.9766,507653
2018-12-24,122000,124500,121000,123000,122244.7656,278884
2018-12-26,121000,122000,117500,119000,118269.3281,275517
2018-12-27,120500,123000,118500,122500,122069.9297,371637
2018-12-28,122500,123000,120500,122000,121571.6797,322665
2019-01-02,121000,122000,117000,118000,117585.7344,356120
2019-01-03,120000,125000,119000,122000,121571.6797,525020
2019-01-04,123500,126000,122500,125500,125059.3984,520785
2019-01-07,128000,132500,127000,131500,131038.3359,502619
2019-01-08,132000,134000,129000,130000,129543.5938,376127
2019-01-09,131000,134500,129500,133000,132533.0625,381372
2019-01-10,132000,134500,130000,131000,130540.0859,293112
2019-01-11,133000,134500,130500,131000,130540.0859,322925
2019-01-14,130000,130500,125000,127000,126554.1328,525411
2019-01-15,127500,132500,127500,132500,132034.8125,335999
2019-01-16,132500,135000,131000,132500,132034.8125,272719
2019-01-17,131500,138000,131500,136000,135522.5313,407099
2019-01-18,137000,138500,136500,137500,137017.2656,328761
2019-01-21,138000,138000,131000,131000,130540.0859,457161
2019-01-22,128500,130500,126500,130000,129543.5938,502285
2019-01-23,130000,134500,130000,132500,132034.8125,259375
2019-01-24,131000,132500,127500,129500,129045.3594,562335
2019-01-25,127500,131000,127000,130000,129543.5938,281650
2019-01-28,129500,132500,129500,132000,131536.5781,283360
2019-01-29,130000,136500,130000,136000,135522.5313,411369
2019-01-30,139000,139500,133000,136000,135522.5313,462280
2019-01-31,138000,143500,136000,136000,135522.5313,1054276
2019-02-01,138000,140000,133000,133500,133031.3125,530284
2019-02-07,132000,134000,128500,129000,128547.1094,737938
2019-02-08,126500,129000,124500,126000,125557.6406,704393
2019-02-11,127000,128500,125000,125500,125059.3984,801465
2019-02-12,123500,124000,121500,123500,123066.4219,1160217
2019-02-13,123500,126500,123500,125000,124561.1563,373571
2019-02-14,125000,130500,125000,127500,127052.375,700427
2019-02-15,128500,131000,127500,127500,127052.375,420100
